val/loss_simple,val/loss_vlb,val/loss,val/sunny_acc,val/inval_acc,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,val/sunny_acc_ema,val/inval_acc_ema,epoch,step,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch,train/sunny_acc_epoch,train/inval_acc_epoch
3.292306900024414,0.018455713987350464,3.292306900024414,0.71630859375,0.94580078125,2.745049476623535,0.024823052808642387,2.745049476623535,0.733642578125,0.941162109375,0,0,,,,,
,,,,,,,,,,0,0,1.3824172019958496,0.007327042520046234,1.3824172019958496,0.94384765625,0.939453125
1.395727515220642,0.020155133679509163,1.395727515220642,0.955322265625,0.969482421875,1.4374701976776123,0.007190031465142965,1.4374701976776123,0.9267578125,0.963623046875,1,1,,,,,
,,,,,,,,,,1,1,3.3008317947387695,0.014505987986922264,3.3008317947387695,0.705322265625,0.94189453125
1.2613065242767334,0.006382066290825605,1.2613065242767334,0.998779296875,0.993408203125,1.2115927934646606,0.010300037451088428,1.2115927934646606,0.99560546875,0.989990234375,2,2,,,,,
,,,,,,,,,,2,2,1.2754275798797607,0.008604821749031544,1.2754275798797607,0.9462890625,0.96435546875
1.0585153102874756,0.00739251310005784,1.0585153102874756,0.99951171875,0.9990234375,1.1295428276062012,0.00523280818015337,1.1295428276062012,0.99951171875,0.997802734375,3,3,,,,,
,,,,,,,,,,3,3,1.1755292415618896,0.0055904695764184,1.1755292415618896,0.998779296875,0.99365234375
0.8931511044502258,0.005006210412830114,0.8931511044502258,1.0,1.0,1.0845102071762085,0.007474267855286598,1.0845102071762085,1.0,0.999755859375,4,4,,,,,
,,,,,,,,,,4,4,1.2701789140701294,0.03691038861870766,1.2701789140701294,1.0,0.999267578125
0.9089285135269165,0.004316837526857853,0.9089285135269165,1.0,1.0,1.1322318315505981,0.012535534799098969,1.1322318315505981,1.0,1.0,5,5,,,,,
,,,,,,,,,,5,5,1.1054394245147705,0.008035066537559032,1.1054394245147705,1.0,1.0
0.7718747854232788,0.006577764637768269,0.7718747854232788,1.0,1.0,1.0682239532470703,0.0074574630707502365,1.0682239532470703,1.0,1.0,6,6,,,,,
,,,,,,,,,,6,6,0.9926509261131287,0.004269099794328213,0.9926509261131287,1.0,1.0
0.7110874056816101,0.005454950965940952,0.7110874056816101,1.0,1.0,0.7977800369262695,0.003799089463427663,0.7977800369262695,1.0,1.0,7,7,,,,,
,,,,,,,,,,7,7,0.8990855813026428,0.003918266389518976,0.8990855813026428,1.0,1.0
0.8601936101913452,0.0036659655161201954,0.8601936101913452,1.0,1.0,0.9641861915588379,0.004954895004630089,0.9641861915588379,1.0,1.0,8,8,,,,,
,,,,,,,,,,8,8,0.9424751996994019,0.004718506243079901,0.9424751996994019,1.0,1.0
1.1302989721298218,0.021421553567051888,1.1302989721298218,1.0,1.0,0.7343992590904236,0.0034343404695391655,0.7343992590904236,1.0,1.0,9,9,,,,,
,,,,,,,,,,9,9,0.7691538333892822,0.0034123691730201244,0.7691538333892822,1.0,1.0
0.9559746384620667,0.0052408091723918915,0.9559746384620667,1.0,1.0,1.0438106060028076,0.00784397404640913,1.0438106060028076,1.0,1.0,10,10,,,,,
,,,,,,,,,,10,10,0.7147351503372192,0.0032163276337087154,0.7147351503372192,1.0,1.0
0.5117238759994507,0.0032308853697031736,0.5117238759994507,1.0,1.0,0.8465079069137573,0.0039449757896363735,0.8465079069137573,1.0,1.0,11,11,,,,,
,,,,,,,,,,11,11,0.5810829401016235,0.004049936309456825,0.5810829401016235,1.0,1.0
0.9430860877037048,0.005036295857280493,0.9430860877037048,1.0,1.0,0.8385654091835022,0.0038571979384869337,0.8385654091835022,1.0,1.0,12,12,,,,,
,,,,,,,,,,12,12,0.6105672717094421,0.0027186116203665733,0.6105672717094421,1.0,1.0
0.40421396493911743,0.0022288726177066565,0.40421396493911743,1.0,1.0,0.5278499126434326,0.002395108575001359,0.5278499126434326,1.0,1.0,13,13,,,,,
,,,,,,,,,,13,13,0.5429961681365967,0.002453496679663658,0.5429961681365967,1.0,1.0
