val/loss_simple,val/loss_vlb,val/loss,val/sunny_acc,val/inval_acc,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,val/sunny_acc_ema,val/inval_acc_ema,epoch,step,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch,train/sunny_acc_epoch,train/inval_acc_epoch
2.695164680480957,0.025054458528757095,2.695164680480957,0.726806640625,0.997314453125,2.202874183654785,0.009364821948111057,2.202874183654785,0.76708984375,0.9921875,0,0,,,,,
,,,,,,,,,,0,0,1.3466978073120117,0.0065765054896473885,1.3466978073120117,0.782958984375,0.917236328125
1.22621488571167,0.11149080842733383,1.22621488571167,0.997314453125,0.991943359375,1.0429517030715942,0.004584333393722773,1.0429517030715942,0.9921875,0.992919921875,1,1,,,,,
,,,,,,,,,,1,1,2.679771900177002,0.01147228293120861,2.679771900177002,0.744140625,0.995361328125
1.0363982915878296,0.006169989705085754,1.0363982915878296,1.0,0.998046875,1.0195469856262207,0.004401950631290674,1.0195469856262207,0.99951171875,0.99462890625,2,2,,,,,
,,,,,,,,,,2,2,0.9377409219741821,0.005334414541721344,0.9377409219741821,0.99658203125,0.9912109375
1.0616586208343506,0.006368336733430624,1.0616586208343506,1.0,1.0,1.0687730312347412,0.007841403596103191,1.0687730312347412,1.0,1.0,3,3,,,,,
,,,,,,,,,,3,3,1.3494757413864136,0.009145832620561123,1.3494757413864136,1.0,0.9970703125
0.8686444759368896,0.0036866951268166304,0.8686444759368896,1.0,1.0,0.7670886516571045,0.005920628551393747,0.7670886516571045,1.0,1.0,4,4,,,,,
,,,,,,,,,,4,4,0.8536872863769531,0.0036502236034721136,0.8536872863769531,1.0,1.0
0.6540051102638245,0.005595637019723654,0.6540051102638245,1.0,1.0,1.0973899364471436,0.0104727977886796,1.0973899364471436,1.0,1.0,5,5,,,,,
,,,,,,,,,,5,5,0.7877782583236694,0.00619268324226141,0.7877782583236694,1.0,1.0
0.6354231834411621,0.004133985843509436,0.6354231834411621,1.0,1.0,0.6271779537200928,0.005398353561758995,0.6271779537200928,1.0,1.0,6,6,,,,,
,,,,,,,,,,6,6,0.9728763103485107,0.005182268563657999,0.9728763103485107,1.0,1.0
1.1956816911697388,0.024654172360897064,1.1956816911697388,1.0,1.0,0.6671922206878662,0.0031439310405403376,0.6671922206878662,1.0,1.0,7,7,,,,,
,,,,,,,,,,7,7,0.7611298561096191,0.0032422319054603577,0.7611298561096191,1.0,1.0
0.5088135004043579,0.0035174789372831583,0.5088135004043579,1.0,1.0,0.6777423620223999,0.0029367818497121334,0.6777423620223999,1.0,1.0,8,8,,,,,
,,,,,,,,,,8,8,0.7251931428909302,0.0031072774436324835,0.7251931428909302,1.0,1.0
0.40720152854919434,0.003972858656197786,0.40720152854919434,1.0,1.0,1.1562421321868896,0.022826381027698517,1.1562421321868896,1.0,1.0,9,9,,,,,
